Title,City,District,Building_Area,Land_Area,Price,Area_Total,Category
Rumah Modern Jakarta SHM Tingkat 2 Lt Di Cipinang Kb Nanas Jaktim Mulai 700jtan,Jakarta,Cawang,68,33,724000000,101,Small
Metland Cyber Cluster Northbend Harga Perdana Paling Murah Se-Jakarta,Jakarta,Puri Indah,1,1,2200000000,2,Small
Virya Semanan Tipe 7,Jakarta,,166,140,3016000000,306,Large
Dijual Rumah Lokasi Terogong Cilandak,Jakarta,Cilandak,864,1057,39000000000,1921,Large
"RUMAH 2 LANTAI DALAM CLUSTER EXCLUSIVE, STRATEGIS DEKAT TOL SETU DAN TOL CEGER",Jakarta,Bambu Apus,112,139,2581000000,251,Medium
DIJUAL RUMAH LAMA DI HANG LEKIR,Jakarta,Kebayoran Baru,250,200,12000000000,450,Large
Rumah dlm cluster 6M nego smpai deal  di Kebagusan Jakarta Selatan,Jakarta,Kebagusan,225,306,6000000000,531,Large
(RMD) RUMAH MINIMALIS SUBSIDI DEKAT STASIUN MAJA@PERMATA MUTIARA MAJA,Jakarta,Radio Dalam,27,60,150000000,87,Small
Rumah Djawa Klasik Modern Lebak Bulus Jak Sel,Jakarta,Lebak Bulus,900,1025,22000000000,1925,Large
Dijual Rumah Modern Minimalis Dalam Townhouse Di Belakang Citos Cilandak Jakarta Sela...,Jakarta,Cilandak,433,157,8000000000,590,Large
PRIVATE CLUSTER- Rumah/Hunian Terbaru Dekat PINTU TOL CIBUBUR 700 jutaan ALL IN,Jakarta,Cipayung,68,60,770000000,128,Small
Rumah unit pojokan siap huni & indent,Jakarta,Jagakarsa,114,75,1250000000,189,Medium
DIJUAL Rumah brandnew siap huni di kawasan berkembang WISTERIA,Jakarta,Cakung,79,84,2200000000,163,Small
Dijual Rumah Cluster Oxalis Tahap 2 Termurah Se Jakarta Barat,Jakarta,Kembangan,70,55,1500000000,125,Small
Rumah 2 lantai Strategis Bebas Banjir Daerah Lenteng Agung,Jakarta,Lenteng Agung,95,77,1700000000,172,Medium
D'LAPAN TOWNHOUSE,Jakarta,Pasar Rebo,48,41,710000000,89,Small
Jual rumah tingkat bisa usaha kpr dimunjul cipayung jakarta timur,Jakarta,Cipayung,75,80,655000000,155,Small
Dijual Rumah Elegan lokasi strategis di Cempaka Putih Tengah,Jakarta,Cempaka Putih,520,450,8000000000,970,Large
Rumah cantik minimalis hnya 300 jutaan lokasi dkat dengan suntetmall,Jakarta,Tanjung Priok,24,24,325500000,48,Small
SISA 1 UNIT LUXURY CLASSIC MODERN HOUSE 3 LANTAI DALAM CLUSTER DI JAGAKARSA JAKARTA S...,Jakarta,Jagakarsa,140,72,1900000000,212,Medium
RUMAH DIJUAL DI PONDOK AREN BINTARO FREE SEMUA BIAYA BIAYA,Jakarta,Bintaro,92,72,1300000000,164,Medium
Rumah Ready On Progres Murah Di Jatikramat Bekasi Dekat Tol,Jakarta,Jatinegara,80,65,837400000,145,Small
Rumah Murah Jakarta SHM Tingkat 2 Lt Di Kemayoran JakPus Mulai 300jtan,Jakarta,Kemayoran,33,18,400000000,51,Small
Dijual rumah di area bintaro pondok aren masuk mobil,Jakarta,Joglo,80,40,550000000,120,Small
RUMAH BARU MODERN MINIMALIS DI CIJANTUNG KALISARI JAKARTA TIMUR,Jakarta,Kalisari,90,66,1150000000,156,Small
Rumah Murah Jakarta SHM Tingkat 2-3 Lantai Sertifikat SHM Hak Milik Lokasi Strategis,Jakarta,Kebon Jeruk,62,32,825800000,94,Small
RUMAH DI JUAL DI JAGAKARSA D'CASSA 5 JAGAKARSA NEGO DILOKASI,Jakarta,Jagakarsa,36,52,700000000,88,Small
Rumah dijual Jl. Dharmawangsa Panglima Polim Prapanca kebayoran baru jakarta sel,Jakarta,Kebayoran Baru,350,657,50000000000,1007,Large
RUMAH 2 LANTAI BISA KPR DI JAGAKARSA JAKARTA SELATAN,Jakarta,Jagakarsa,110,63,1450000000,173,Medium
Rumah Cantik design Modern di Cibubur,Jakarta,Cibubur,45,65,499000000,110,Small
Virya Semanan Tipe 6,Jakarta,,136,120,2548000000,256,Medium
"KODE :16563(Si/Dj) Rumah Dijual Tamansari, Luas 106 Meter",Jakarta,Taman Sari,270,106,6000000000,376,Large
Jual Murah Rumah 2 Lantai Dalam Komplek Cilandak Jakarta Selatan,Jakarta,Cilandak,350,335,10000000000,685,Large
Dijual rumah dalam komplek di ulujami pesanggrahan Jaksel,Jakarta,Pesanggrahan,200,140,1900000000,340,Large
RUMAH MURAH DUA LANTAI DI CIRACAS JAKARTA TIMUR,Jakarta,Ciracas,140,70,1000000000,210,Medium
"DI JUAL Rumah bagus di daerah Kenanga Ampera, aman, nyaman dan tenang. siap huni",Jakarta,Ampera,314,311,10500000000,625,Large
Dijual Cepat Rumah Dharmawangsa Kebayoran Baru Murah Turun Harga,Jakarta,Kebayoran Baru,558,558,19000000000,1116,Large
Rumah murah di cipinang,Jakarta,Pulo Gadung,66,36,1140000000,102,Small
Dijual Murah Rumah Cluster Nyaman dan Adem di Cipayung Jak-tim,Jakarta,Cipayung,36,115,950000000,151,Small
Rumah Semi RE 42/120 Murah,Jakarta,,42,120,460000000,162,Small
Dijual Rumah di Lebak Bulus Cilandak,Jakarta,Lebak Bulus,400,440,9750000000,840,Large
RUMAH BAGUS MURAH LT 120 KOTA WISATA CIBUBUR BOGOR,Jakarta,Kota Wisata,150,120,1250000000,270,Medium
New town house dekat transmart cilandak,Jakarta,Cilandak,200,96,3550000000,296,Large
Rumah Baru Brand New Menteng 3 lantai ada Pool Lift Mewah Dijual Fully Furnished,Jakarta,Menteng,1200,474,73000000000,1674,Large
"DI JUAL Rumah tua di daerah duren tiga selatan, harga dibawah NJOP Nego",Jakarta,Duren Tiga,200,326,4600000000,526,Large
Rumah design Modern FREE BPHTB di Cibubur Cikeas Bogor,Jakarta,Cibubur,85,81,828000000,166,Small
RUMAH EXCLUSIVE PERMATA HIJAU JAKARTA SELATAN,Jakarta,Permata Hijau,300,500,13500000000,800,Large
Jual cepat Rumah di kebon jeruk Villa Kelapa Dua,Jakarta,Kebon Jeruk,130,108,2500000000,238,Medium
"Dijual Rumah Siap Huni di Sunter Agung, Seberang Sunter Mall",Jakarta,Sunter Agung,250,150,4200000000,400,Large
"Rumah baru 2 lantai di pinggir Jalan utama, bebas banjir KPR BSI",Jakarta,Kalisari,100,75,1280000000,175,Medium
Rumah Modern Jakarta SHM Tingkat 2Lt Di Cempaka Putih Jakpus,Jakarta,Cempaka Putih,68,36,1377000000,104,Small
Rumah murah strategis di jakarta selatan 9 menit dari pintu tol slipi,Jakarta,Grogol Utara,285,156,3800000000,441,Large
Rumah kios dijual dijakarta pusat,Jakarta,Johar Baru,66,70,1150000000,136,Small
Bintaro Jaya Sektor 1 Jl Merak 182m� Nyaman,Jakarta,Bintaro,240,182,3100000000,422,Large
Rumah Lux di Ragunan,Jakarta,Ragunan,700,1060,23000000000,1760,Large
Jual Rumah Murah Di Jagakarsa Jakarta Selatan dekat Andara,Jakarta,Jagakarsa,120,61,1250000000,181,Medium
DI Jual Rumah Komplek Pertamina,Jakarta,,600,699,20000000000,1299,Large
Rumah 2Lantai Dp 4jutaan,Jakarta,,39,60,680000000,99,Small
Rumah Dijual Siap Huni di Pasar Rebo,Jakarta,,150,200,2000000000,350,Medium
Dijual Cepat ! Rumah 3 BR kawasan Jakarta Timur - Kolam Renang,Jakarta,Rawamangun,200,529,18000000000,729,Large
"Dijual Rumah Cluster Minimalist AYALIS RESIDENCE Menteng, Jakarta Pusat",Jakarta,Menteng,40,23,750000000,63,Small
Dijual cepat Rumah super mewah interkon..,Jakarta,Kembangan,2100,778,33000000000,2878,Large
Rumah di kebon bawang tanjung priok jakarta utara,Jakarta,Tanjung Priok,250,172,4200000000,422,Large
Rumah kost dijual dijakarta pusat,Jakarta,Menteng,170,57,1800000000,227,Large
PREMIUM AREA - Cluster Terbaru 700jutaan SELANGKAH AKSES STASIUN & TOL - ALL IN,Jakarta,Ciracas,68,63,770000000,131,Small
Hunian Mewah Dilokasi Mewah,Jakarta,Cempaka Putih,64,34,1300000000,98,Small
Rumah Subsidi Cileungsi-Bogor Puri Asri 3 PROMO DP 5 JT GRATIS BIAYA PROSES,Jakarta,Cibubur,30,60,178000000,90,Small
The Lagoon Park Bukit Golf Riverside Cibuburr,Jakarta,Cibubur,63,60,1125213000,123,Small
rumah cantik 2 lantai di jakarta selatan,Jakarta,Jagakarsa,150,108,2150000000,258,Medium
Rumah murah dan minimalis,Jakarta,Cempaka Putih,68,36,1337500000,104,Small
Rumah Murah Cipinang Rawamangun,Jakarta,Cipinang,66,36,1140000000,102,Small
